,papel,nome_comercial
455,GALO3,EMEEGE ESCAPAMENTOS
456,GALO4,EMEEGE ESCAPAMENTOS
457,GAZO3,GAZOLA SA INDÚSTRIA METALURGICA
458,GAZO4,GAZOLA SA INDÚSTRIA METALURGICA
459,GBIO33,BIOTOSCANA
460,GEPA3,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA"
461,GEPA4,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA"
462,GETI3,AES TIETE SA
463,GETI4,AES TIETE SA
464,GETT3,GETNET BR
465,GETT4,GETNET BR
466,GFSA3,GAFISA
467,GGBR3,GERDAU S.A.
468,GGBR4,GERDAU S.A.
469,GGPS3,GPS
470,GLOB4,VIA
471,GMAT3,GRUPO MATEUS
472,GNDI3,INTERMEDICA
473,GOAU3,METALÚRGICA GERDAU
474,GOAU4,METALÚRGICA GERDAU
475,GOLL4,GOL LINHAS AEREAS INTELIGENTES SA
476,GPAR3,CELGPAR
477,GPCP3,DEXXOS PAR
478,GPIV33,"GP INVESTMENTS, LTD"
479,GRND3,GRENDENE SA
480,GRNL4,GRANÓLEO S/A
481,GSHP3,Generalshopp
482,GUAR3,GUARARAPES CONFECÇÕES
483,GUAR4,GUARARAPES CONFECÇÕES
484,GVTT3,GVT HOLDING
485,HAGA3,HAGA
486,HAGA4,HAGA
487,HAPV3,HAPVIDA
488,HBOR3,Helbor
489,HBRE3,HBR REALTY
490,HBSA3,HIDROVIAS
491,HBTS5,CIA HABITASUL
492,HETA3,HERCULES S/A
493,HETA4,HERCULES S/A
494,HGTX3,CIA HERING
495,HGTX4,CIA HERING
496,HOOT4,HOTEIS OTHON S.A.
497,HRTP3,PETRORIO
498,HYPE3,HYPERA
499,ICPI3,CIMENTO ITAU CORUMBA
500,IDNT3,PADTEC
501,IDVL11,Indusval
502,IDVL3,Indusval
503,IDVL4,Indusval
504,IENG3,INEPAR ENERGIA
505,IENG5,INEPAR ENERGIA
506,IFCM3,INFRACOMM
507,IGBR3,GRADIENTE
508,IGBR5,GRADIENTE
509,IGBR6,GRADIENTE
510,IGTA3,IGUATEMI
511,IGTI11,IGUATEMI S.A
512,IGTI3,IGUATEMI S.A
513,IGUA3,CIA. IGUAÇU DE CAFÉ SOLÚVEL
514,IGUA5,CIA. IGUAÇU DE CAFÉ SOLÚVEL
515,IGUA6,CIA. IGUAÇU DE CAFÉ SOLÚVEL
516,ILLS4,LINHAS CIRCULO
517,ILMD3,YARA BRASIL FERTILIZANTES S.A.
518,ILMD4,YARA BRASIL FERTILIZANTES S.A.
519,IMBI3,COMPANHIA DOCAS DE IMBITUBA
520,IMBI4,COMPANHIA DOCAS DE IMBITUBA
521,IMCH3,IMC HOLDINGS
